iter	Logloss
0	0.523243357
1	0.4685563901
2	0.4501461808
3	0.4429177351
4	0.4401802269
5	0.4382475081
6	0.4373715298
7	0.4372187045
8	0.4368820993
9	0.4366906589
10	0.436218975
11	0.4359568115
12	0.4359129779
13	0.4359129308
14	0.4357223869
15	0.4356319092
16	0.4356254076
17	0.4356149546
18	0.4355566545
19	0.4355016616
